date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:26:56	41970/41970	---M--	200	added ('OK')	application/javascript	date:Fri,%2030%20Aug%202019%2004:45:30%20GMT	https://dayday.plus/wp-content/themes/minimal-grid/assets/lib/slick/js/slick.min.js?ver=4.9.12	H:/DayDay.Plus/2019-12-10/dayday.plus/wp-content/themes/minimal-grid/assets/lib/slick/js/slick.mind8f3.js	(from https://dayday.plus/)
23:26:57	20219/20219	---M--	200	added ('OK')	application/javascript	date:Fri,%2030%20Aug%202019%2004:45:30%20GMT	https://dayday.plus/wp-content/themes/minimal-grid/assets/lib/magnific-popup/jquery.magnific-popup.min.js?ver=4.9.12	H:/DayDay.Plus/2019-12-10/dayday.plus/wp-content/themes/minimal-grid/assets/lib/magnific-popup/jquery.magnific-popup.mind8f3.js	(from https://dayday.plus/)
23:26:57	7994/7994	---M--	200	added ('OK')	application/javascript	date:Thu,%2003%20Nov%202016%2003:10:34%20GMT	https://dayday.plus/wp-includes/js/imagesloaded.min.js?ver=3.2.0	H:/DayDay.Plus/2019-12-10/dayday.plus/wp-includes/js/imagesloaded.min55a0.js	(from https://dayday.plus/)
23:26:57	8271/8271	---M--	200	added ('OK')	application/javascript	date:Fri,%2030%20Aug%202019%2004:45:30%20GMT	https://dayday.plus/wp-content/themes/minimal-grid/assets/lib/theiaStickySidebar/theia-sticky-sidebar.min.js?ver=4.9.12	H:/DayDay.Plus/2019-12-10/dayday.plus/wp-content/themes/minimal-grid/assets/lib/theiaStickySidebar/theia-sticky-sidebar.mind8f3.js	(from https://dayday.plus/)
23:26:57	28954/28954	---M--	200	added ('OK')	application/javascript	date:Tue,%2028%20Jun%202016%2016:18:32%20GMT	https://dayday.plus/wp-includes/js/masonry.min.js?ver=3.3.2	H:/DayDay.Plus/2019-12-10/dayday.plus/wp-includes/js/masonry.mind617.js	(from https://dayday.plus/)
23:26:58	914/914	---M--	200	added ('OK')	application/javascript	date:Tue,%2023%20Jan%202018%2023:23:38%20GMT	https://dayday.plus/wp-includes/js/mediaelement/wp-mediaelement.min.js?ver=4.9.12	H:/DayDay.Plus/2019-12-10/dayday.plus/wp-includes/js/mediaelement/wp-mediaelement.mind8f3.js	(from https://dayday.plus/)
23:26:58	16074/16074	---M--	200	added ('OK')	application/javascript	date:Fri,%2030%20Aug%202019%2004:45:30%20GMT	https://dayday.plus/wp-content/themes/minimal-grid/assets/thememattic/js/script.js?ver=4.9.12	H:/DayDay.Plus/2019-12-10/dayday.plus/wp-content/themes/minimal-grid/assets/thememattic/js/scriptd8f3.js	(from https://dayday.plus/)
23:26:58	3903/3903	---M--	200	added ('OK')	application/javascript	date:Fri,%2016%20Aug%202019%2003:11:20%20GMT	https://dayday.plus/wp-content/plugins/page-links-to/js/new-tab.min.js?ver=3.1.2	H:/DayDay.Plus/2019-12-10/dayday.plus/wp-content/plugins/page-links-to/js/new-tab.min0226.js	(from https://dayday.plus/)
23:26:58	1403/1403	---M--	200	added ('OK')	application/javascript	date:Thu,%2013%20Dec%202018%2003:25:35%20GMT	https://dayday.plus/wp-includes/js/wp-embed.min.js?ver=4.9.12	H:/DayDay.Plus/2019-12-10/dayday.plus/wp-includes/js/wp-embed.mind8f3.js	(from https://dayday.plus/)
23:27:00	120724/120724	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2030%20Aug%202019%2004:45:30%20GMT	https://dayday.plus/wp-content/themes/minimal-grid/assets/lib/ionicons/fonts/ionicons.eot?v=2.0.0	H:/DayDay.Plus/2019-12-10/dayday.plus/wp-content/themes/minimal-grid/assets/lib/ionicons/fonts/ionicons28b5.eot	(from https://dayday.plus/wp-content/themes/minimal-grid/assets/lib/ionicons/css/ionicons.min.css?ver=4.9.12)
